-id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,N-Ped,E-Ped,S-Ped,W-Ped,N-Bike,E-Bike,S-Bike,W-Bike,lat,lon
misc/-Assets-dept_8-pdf-Docs-Final Schematic Design Report 7-6-11.txt,Old US Hwy 30 -- Hwy 30 / Westport  OR,x,2/18/2011,17:00-18:00,0,0,0,0,446,2,2,0,0,0,278,0,0,0,0,0,0,0,0,0,,
misc/-Assets-dept_8-pdf-Docs-Final Schematic Design Report 7-6-11.txt,Westport Ferry Rd -- Hwy 30 / Westport  OR,x,2/18/2011,17:00-18:00,7,0,10,8,444,14,4,0,2,8,263,12,0,0,0,0,0,0,0,0,,
misc/-Assets-dept_8-pdf-Docs-Final Schematic Design Report 7-6-11.txt,Old Mill Rd -- Hwy 30 / Westport  OR,x,2/18/2011,17:00-18:00,3,1,9,5,427,3,2,2,1,4,243,6,0,1,1,4,0,0,0,0,,
misc/-Assets-dept_8-pdf-Docs-Westport_Community_Development_TIA_Final_10_07_11_with_appendix.txt,Old US Hwy 30 -- Hwy 30 / Westport  OR,x,2/18/2011,17:00-18:00,0,0,0,0,446,2,2,0,0,0,278,0,0,0,0,0,0,0,0,0,,
misc/-Assets-dept_8-pdf-Docs-Westport_Community_Development_TIA_Final_10_07_11_with_appendix.txt,Westport Ferry Rd -- Hwy 30 / Westport  OR,x,2/18/2011,17:00-18:00,7,0,10,8,444,14,4,0,2,8,263,12,0,0,0,0,0,0,0,0,,
misc/-Assets-dept_8-pdf-Docs-Westport_Community_Development_TIA_Final_10_07_11_with_appendix.txt,Old Mill Rd -- Hwy 30 / Westport  OR,x,2/18/2011,17:00-18:00,3,1,9,5,427,3,2,2,1,4,243,6,0,1,1,4,0,0,0,0,,
misc/02082011 SKPR traffic.txt,108th -- Park-n-Ride / Kirkland  WA,x,12/15/2010,16:30-17:30,20,333,0,0,0,0,0,723,42,73,0,88,0,0,0,0,0,0,0,0,,
misc/02082011 SKPR traffic.txt,108th -- Park-n-Ride / Kirkland  WA,x,12/15/2010,07:30-08:30,128,699,0,0,0,0,0,207,68,50,0,17,1,0,7,0,0,0,0,0,,
misc/02082011 SKPR traffic.txt,Park-n-Ride -- 38th / Kirkland  WA,x,12/15/2010,16:55-17:55,48,1,20,12,122,11,8,0,2,2,256,16,1,0,1,6,0,0,0,0,,
misc/02082011 SKPR traffic.txt,Park-n-Ride -- 38th / Kirkland  WA,x,12/15/2010,07:20-08:20,18,0,8,37,189,96,14,0,2,40,114,58,3,0,0,1,1,0,0,0,,
misc/03-WestCampusConnectorTrafficAnalysisReporta.txt,George Mason Blvd -- University Dr / Fairfax  VA,x,4/20/2010,08:15-09:15,79,157,214,91,52,57,18,54,49,87,229,219,0,4,7,29,,,,,,
misc/03-WestCampusConnectorTrafficAnalysisReporta.txt,George Mason Blvd -- University Dr / Fairfax  VA,x,4/22/2010,16:00-17:00,256,143,118,189,260,40,22,181,186,99,183,77,2,13,28,40,,,,,,
misc/051414planmeetpacket.txt,Braud Rd -- Germany Rd / Gonzales  LA,x,Tue  Feb 18 2014,06:45-07:45,37,153,19,23,389,61,18,24,10,11,135,17,1,0,0,0,0,0,0,0,,
misc/051414planmeetpacket.txt,Braud Rd -- Germany Rd / Gonzales  LA,x,Tue  Feb 18 2014,16:30-17:30,14,58,26,53,204,30,94,148,15,18,429,47,0,0,0,0,0,0,0,0,,
misc/051414planmeetpacket.txt,Airline Hwy -- Germany Rd / Prairieville  LA,x,Tue  Feb 18 2014,06:45-07:45,58,625,65,253,115,70,18,860,119,118,68,91,0,0,0,0,0,0,0,0,,
misc/051414planmeetpacket.txt,Airline Hwy -- Germany Rd / Prairieville  LA,x,Tue  Feb 18 2014,16:45-17:45,107,1090,274,97,72,42,132,907,137,51,134,107,0,0,1,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Sunnyside Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,220,86,17,12,209,5,6,137,91,139,258,411,0,1,2,2,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Vogel Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,0,309,9,7,0,27,109,441,0,0,0,0,0,0,0,2,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Troge Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,0,289,11,5,0,17,37,402,0,0,0,0,0,0,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Hagen Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,27,295,0,0,0,1,0,402,6,8,0,54,0,0,0,2,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Hemrick Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,1,282,9,14,0,41,166,285,0,0,0,0,0,2,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Scouter Mtn Elementary / Clackamas  OR,x,10/27/2010,16:45-17:45,3,323,0,0,0,0,0,446,3,4,0,3,0,2,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Foster Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,0,0,0,0,279,155,156,0,132,173,421,0,0,0,0,0,0,0,1,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,190th Dr -- Tillstsrom Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,18,1,74,66,100,1,0,0,0,0,197,44,0,0,0,0,0,0,2,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Maple Hill Ln / Clackamas  OR,x,10/27/2010,16:45-17:45,5,295,0,0,0,0,0,303,4,2,0,0,0,0,0,0,0,0,0,1,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,Foster Rd -- Tillstsrom Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,0,208,148,92,0,29,105,256,0,0,0,0,0,0,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Sager Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,3,290,0,0,0,0,0,285,18,9,0,2,0,0,0,0,0,0,0,1,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- 170th Ave / Clackamas  OR,x,10/27/2010,16:45-17:45,2,293,0,0,0,0,0,283,6,4,0,1,0,0,0,0,0,0,0,1,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,Foster Rd -- Cheldelin Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,0,315,8,6,0,40,89,266,0,0,0,0,0,0,0,0,0,0,0,1,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,190th Dr -- Cheldelin Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,44,105,0,0,0,0,0,117,4,7,0,91,0,0,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,172nd Ave -- Crystal Springs Blvd / Clackamas  OR,x,10/27/2010,16:45-17:45,23,302,0,0,0,0,0,288,0,0,0,6,0,0,0,0,0,0,0,1,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,Foster Rd -- Richey Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,0,319,260,203,0,13,57,234,0,0,0,0,1,0,0,0,0,0,0,1,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,Foster Rd -- Hemrick Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,42,185,0,0,0,0,0,201,11,5,0,168,0,0,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,182nd Ave -- Richey Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,35,0,4,2,157,0,0,0,0,0,221,54,0,0,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,190th Dr -- Richey Rd / Clackamas  OR,x,10/27/2010,16:45-17:45,164,135,0,0,0,0,0,203,7,8,0,239,0,0,0,1,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,190th Dr -- Giese Rd / Portland  OR,x,10/27/2010,16:45-17:45,30,276,50,39,41,31,96,348,0,3,67,62,0,0,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,Highland Dr -- Pleasant View / Portland  OR,x,10/27/2010,16:45-17:45,0,451,129,70,0,123,200,332,0,0,0,0,0,0,0,0,0,0,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,182nd Ave -- Powell Blvd / Portland  OR,x,10/27/2010,16:45-17:45,190,670,202,114,517,116,55,438,202,145,648,195,14,14,12,31,2,1,0,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,Powell Lp (E) -- Powell Blvd / Portland  OR,x,10/27/2010,16:45-17:45,0,0,0,0,784,214,224,0,19,6,884,0,0,0,2,0,0,0,1,0,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,174th Ave -- Powell Blvd / Portland  OR,x,10/27/2010,16:45-17:45,78,192,74,44,594,189,296,238,107,170,702,76,4,15,18,14,3,2,0,1,,
misc/10213 TM  Existing Conditions_2010 Nov.txt,Jenne Rd -- Foster Rd / Portland  OR,x,10/27/2010,16:45-17:45,353,0,175,142,255,0,0,0,0,0,416,551,0,0,0,0,0,0,0,0,,
misc/10383RepFinal.txt,US 97 -- 1st St-Reed Rd / La Pine  OR,x,9/10/2008,16:30-17:30,59,285,18,43,11,18,25,321,60,67,17,43,0,0,0,0,,,,,,
misc/10383RepFinal.txt,US 97 -- Finley Butte / La Pine  OR,x,9/10/2008,16:15-17:15,0,390,92,81,0,23,23,367,0,0,0,0,0,2,0,0,,,,,,
misc/10383RepFinal.txt,US 97 -- Huntington Rd-Main St / La Pine  OR,x,9/10/2008,16:30-17:30,6,348,1,3,1,0,3,360,107,106,0,3,0,3,0,2,,,,,,
misc/10383RepFinal.txt,US 97 -- 6th St / La Pine  OR,x,9/10/2008,16:30-17:30,54,277,78,70,15,27,19,292,7,5,12,40,0,0,1,0,,,,,,
misc/10852912 - Panther Creek HS East Dwy -- McCrimmon Pkwy.txt,Panther Creek HS East Dwy -- McCrimmon Pkwy / Cary  NC,x,Wed  Nov 28 2012,17:00-18:00,26,0,0,25,362,0,0,0,0,0,205,2,2,0,0,0,0,0,0,0,,
misc/10852913 - NC 55 -- McCrimmon Pkwy.txt,NC 55 -- McCrimmon Pkwy / Cary  NC,x,Thu  Nov 29 2012,07:00-08:00,128,522,0,0,0,0,0,1804,366,268,0,327,0,0,0,0,0,0,0,0,,
misc/10852922 - Green Level Church Rd -- Okelly Chapel Rd.txt,Green Level Church Rd -- Okelly Chapel Rd / Cary  NC,x,Wed  Nov 28 2012,17:00-18:00,100,122,27,25,244,306,71,22,39,131,265,19,0,0,0,0,0,0,0,0,,
misc/10956002 - Yates Store Rd -- Rolling Springs Dr_PM.txt,Yates Store Rd -- Rolling Springs Dr / Cary  NC,x,Thu  May 09 2013,16:30-17:30,0,115,15,16,0,2,1,53,0,0,0,0,1,1,0,0,0,1,0,0,,
misc/10956005 - Yates Store Rd -- New Hope Church Rd_AM.txt,Yates Store Rd -- New Hope Church Rd / Cary  NC,x,Thu  May 09 2013,08:00-09:00,17,25,0,0,0,0,0,101,16,5,0,23,0,0,0,0,0,0,0,0,,
misc/10956009 - Yates Store Rd -- Ashdown Forest Ln_AM.txt,Yates Store Rd -- Ashdown Forest Ln / Cary  NC,x,Thu  May 09 2013,07:45-08:45,20,51,0,0,0,0,0,139,1,2,0,38,0,0,0,1,0,0,0,0,,
misc/112111_Life Fellowship TIA 26 October 2011.txt,Liverpool Pkwy -- Catawba Ave / Cornelius  NC,x,Wed  Oct 12 2011,07:30-08:30,40,38,324,160,879,241,162,28,12,28,771,54,0,0,0,0,0,0,0,0,,
misc/112111_Life Fellowship TIA 26 October 2011.txt,Liverpool Pkwy -- Catawba Ave / Cornelius  NC,x,Wed  Oct 12 2011,16:45-17:45,59,38,373,372,1091,303,365,55,60,78,889,101,1,0,1,0,0,0,2,0,,
misc/112111_Life Fellowship TIA 26 October 2011.txt,Liverpool Pkwy -- Chartwell Center Dr / Cornelius  NC,x,Wed  Oct 12 2011,07:30-08:30,2,95,147,31,0,13,36,144,3,1,0,5,0,0,1,0,0,0,0,1,,
misc/112111_Life Fellowship TIA 26 October 2011.txt,Liverpool Pkwy -- Chartwell Center Dr / Cornelius  NC,x,Wed  Oct 12 2011,16:30-17:30,19,184,115,187,0,63,53,210,11,4,1,15,0,5,0,6,0,1,0,0,,
misc/115_12-06-13_1016_AGENDApacket.txt,S Palouse St -- E Alder St / Walla Walla  WA,x,Wed  Sep 18 2013,07:35-08:35,15,49,0,62,133,2,0,44,11,24,0,12,6,3,3,5,0,0,1,2,,
misc/115_12-06-13_1016_AGENDApacket.txt,S Palouse St -- E Alder St / Walla Walla  WA,x,Tue  Sep 17 2013,16:25-17:25,36,111,0,47,160,1,0,50,11,111,0,26,7,0,4,9,0,0,2,0,,
misc/115_12-06-13_1016_AGENDApacket.txt,S Colville St -- E Alder St / Walla Walla  WA,x,Wed  Sep 18 2013,07:40-08:40,10,12,3,19,124,4,10,13,4,2,37,10,8,5,11,5,0,0,1,1,,
misc/115_12-06-13_1016_AGENDApacket.txt,S Colville St -- E Alder St / Walla Walla  WA,x,Tue  Sep 17 2013,16:40-17:40,63,16,15,38,185,18,20,21,11,8,117,25,46,15,2,3,1,4,0,0,,
misc/115_12-06-13_1016_AGENDApacket.txt,S 2nd Ave -- E Alder St / Walla Walla  WA,x,Wed  Sep 18 2013,07:25-08:25,17,281,16,49,65,12,31,340,26,13,44,8,12,14,13,15,0,0,1,5,,
misc/115_12-06-13_1016_AGENDApacket.txt,S 2nd Ave -- E Alder St / Walla Walla  WA,x,Tue  Sep 17 2013,16:25-17:25,24,399,31,69,142,44,38,301,14,42,97,18,20,12,7,17,0,2,0,1,,
misc/115_12-06-13_1016_AGENDApacket.txt,S 1st Ave -- E Alder St / Walla Walla  WA,x,Wed  Sep 18 2013,07:50-08:50,18,21,6,16,111,2,2,13,2,11,58,6,13,23,17,30,2,0,1,1,,
