-id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,N-Ped,E-Ped,S-Ped,W-Ped,N-Bike,E-Bike,S-Bike,W-Bike,lat,lon
sanjose/Appendix B - TIA_201307031551163925.txt,Narvaez Ave -- SR 87 NB Ramps / San Jose  CA,x,4/23/2009,07:10-08:10,219,182,0,0,0,0,0,150,695,301,0,91,0,6,1,12,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,Narvaez Ave -- SR 87 NB Ramps / San Jose  CA,x,4/23/2009,17:00-18:00,198,116,1,0,0,0,0,185,804,812,0,279,0,0,2,3,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,Senter Rd -- E Capitol Expy / San Jose  CA,x,4/23/2009,07:25-08:25,244,523,344,564,1817,252,291,596,290,189,1458,376,39,144,1,66,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,Senter Rd -- E Capitol Expy / San Jose  CA,x,4/23/2009,16:55-17:55,284,657,562,511,1306,361,284,344,177,179,1535,240,8,69,0,28,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,CA-82 -- Senter Rd / San Jose  CA,x,4/23/2009,07:25-08:25,0,585,116,458,0,325,359,2101,12,0,0,0,34,9,0,0,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,CA-82 -- Senter Rd / San Jose  CA,x,4/23/2009,16:55-17:55,0,1809,401,219,0,424,384,780,36,0,0,0,45,20,28,0,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,CA-82 -- Valleyhaven Way / San Jose  CA,x,4/23/2009,07:15-08:15,0,725,34,54,0,23,15,2215,1,0,0,0,0,4,1,0,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,CA-82 -- Valleyhaven Way / San Jose  CA,x,4/23/2009,17:00-18:00,0,1798,79,21,0,15,30,995,0,0,0,0,0,7,3,1,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,CA-82 -- Edenview Dr / San Jose  CA,x,4/23/2009,07:30-08:30,0,845,61,136,0,217,90,1374,12,0,0,0,6,4,0,0,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,CA-82 -- Edenview Dr / San Jose  CA,x,4/23/2009,16:55-17:55,0,1497,93,51,0,84,87,900,11,0,0,0,7,10,0,0,,,,,,
sanjose/Appendix B - TIA_201307031551163925.txt,Snell Ave -- Giuffrida Ave / San Jose  CA,x,4/23/2009,07:45-08:45,62,1050,29,18,1,9,13,972,91,115,3,60,3,4,7,6,,,,,,
