-id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,N-Ped,E-Ped,S-Ped,W-Ped,N-Bike,E-Bike,S-Bike,W-Bike,lat,lon
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:00-07:05,0,7,6,27,49,6,11,13,0,3,10,0,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:05-07:10,0,6,1,18,60,13,12,14,1,0,21,0,0,0,0,0,0,0,1,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:10-07:15,0,5,2,25,66,7,14,18,0,1,24,0,1,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:15-07:20,1,5,7,32,75,7,12,27,2,4,20,0,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:20-07:25,0,7,4,29,72,12,15,27,2,1,27,0,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:25-07:30,2,5,2,31,78,7,17,20,0,1,21,0,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:30-07:35,1,2,1,41,77,8,6,14,2,1,12,0,1,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:35-07:40,0,6,7,36,78,14,4,15,1,1,26,0,2,0,0,1,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:40-07:45,1,5,5,45,84,12,20,22,0,0,21,0,0,1,0,0,1,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:45-07:50,0,9,8,43,71,10,17,22,2,1,27,1,0,0,1,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:50-07:55,0,10,8,29,73,14,21,22,1,0,25,0,0,0,0,0,0,1,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:55-08:00,0,7,8,28,51,10,13,24,3,2,23,0,0,0,0,1,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:00-08:05,0,6,6,34,71,15,13,27,2,0,26,0,1,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:05-08:10,2,5,8,28,78,9,6,14,0,1,23,0,2,1,0,2,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:10-08:15,0,6,4,41,68,11,13,20,0,3,28,0,0,0,2,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:15-08:20,0,3,6,32,71,11,15,20,4,2,26,0,0,1,1,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:20-08:25,0,6,7,36,97,11,22,15,2,3,20,0,0,0,0,0,0,1,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:25-08:30,1,9,3,35,61,10,12,18,2,1,19,0,0,0,2,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:30-08:35,0,6,11,29,77,10,13,20,1,3,19,0,0,2,2,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:35-08:40,0,8,10,47,64,14,14,19,1,1,24,0,4,4,0,2,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:40-08:45,0,8,13,32,86,9,14,20,3,2,28,0,0,0,5,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:45-08:50,0,11,8,22,62,11,12,13,1,1,32,0,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:50-08:55,0,3,12,26,58,7,12,13,2,2,27,0,0,0,1,1,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:55-09:00,0,9,9,20,69,13,8,12,0,2,24,0,1,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:00-07:15,0,18,9,70,175,26,37,45,1,4,55,0,1,0,0,0,0,0,1,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:15-07:30,3,17,13,92,225,26,44,74,4,6,68,0,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:30-07:45,2,13,13,122,239,34,30,51,3,2,59,0,3,1,0,1,1,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,07:45-08:00,0,26,24,100,195,34,51,68,6,3,75,1,0,0,1,1,0,1,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:00-08:15,2,17,18,103,217,35,32,61,2,4,77,0,3,1,2,2,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:15-08:30,1,18,16,103,229,32,49,53,8,6,65,0,0,1,3,0,0,1,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:30-08:45,0,22,34,108,227,33,41,59,5,6,71,0,4,6,7,2,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Holgate Blvd.txt,SE 17th Ave & SE Holgate Blvd,x,Thursday  December 11  2008,08:45-09:00,0,23,29,68,189,31,32,38,3,5,83,0,1,0,1,1,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:00-07:05,3,1,3,2,111,45,13,1,3,2,18,2,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:05-07:10,1,6,3,4,114,26,9,1,1,0,31,6,0,0,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:10-07:15,0,3,2,5,139,35,12,2,3,4,21,2,0,2,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:15-07:20,1,2,4,7,137,30,11,2,0,0,29,4,0,1,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:20-07:25,1,6,6,4,129,38,13,1,2,1,34,4,0,1,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:25-07:30,0,3,6,2,134,24,8,4,3,2,52,4,0,2,2,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:30-07:35,1,7,7,5,101,33,11,3,1,1,33,6,0,2,0,0,0,0,0,0,,
portland/AM Counts/SE 17th Ave & SE Mcloughlin Blvd.txt,SE 17th Ave & SE Mcloughlin Blvd,x,Tuesday  December 09  2008,07:35-07:40,2,5,3,4,152,28,4,2,1,1,49,3,0,3,1,0,0,0,0,0,,
